% f (Hz),Material Switch 2 index,Time (s),Coil current A (A),Coil current B (A),Coil current C (A),Coil voltage A (V),Coil voltage B (V),Coil voltage C (V),Axial torque (N*m),Rotor Losses (W),Stator Losses (W),Coil Losses (W)
50,1,0.0029047459702290783,2.7968476381979257,0.47460380123396073,-3.271451439431887,496.992235923353,-530.4035700606189,-26.790044429681956,3.232104886937891,1.349952398153568,11.525099217971649,574.883157540106
50,1,0.002932523748006856,2.815614771628211,0.44401201502976806,-3.2596267866579796,464.63537224683796,-524.8892884191796,-20.816632298760652,3.2692843469031962,1.3507257771271017,11.521905757681449,574.8831575401063
50,1,0.0029603015257846335,2.8341674850925416,0.4133864155915685,-3.2475539006841103,442.4104271749768,-541.7774516654333,-21.21415594708894,3.325104043860381,1.3510397738360336,11.517604998277518,574.8831575401061
50,1,0.002988079303562411,2.8525043657299567,0.38272933517733104,-3.2352337009072873,426.8522773757879,-543.5131760508123,-11.80818083407732,3.38659703368055,1.3513699250703708,11.511476525914967,574.8831575401063
50,1,0.0030158570813401888,2.870624017116001,0.3520431084424229,-3.2226671255584245,422.15193913236584,-540.1773042094594,1.2915169184349367,3.4731182448472837,1.3518193358585557,11.504446992441647,574.883157540106
50,1,0.0030436348591179664,2.8885250593690697,0.32133007226181665,-3.2098551316308863,442.75085435054746,-546.696916509897,-5.627871200111898,3.5236639370018237,1.3519008791485916,11.501633492643492,574.8831575401058
50,1,0.003071412636895744,2.906206129255488,0.2905925655521277,-3.196798694807615,485.35352389780064,-523.1751808938618,-2.3317949515191856,3.509512911051908,1.3525814570932073,11.505505529024479,574.8831575401061
50,1,0.0030991904146735216,2.9236658802933286,0.25983292909349703,-3.1834988093868253,475.42002340526096,-524.9804237947861,5.173816009748293,3.5168209305399745,1.3534028228663804,11.5087966083491,574.8831575401063
50,1,0.003126968192451299,2.940902982854953,0.22905350535133184,-3.1699564882062834,449.51355123789307,-541.1810593936431,-0.9655085554198877,3.530951674309886,1.3538313596335274,11.510320760125488,574.8831575401059
50,1,0.003154745970229077,2.9579161242682632,0.1982566382979159,-3.15617276256618,420.7348229953144,-533.9479684272147,5.148502571022547,3.5478204488064367,1.3544211103400268,11.5078302214417,574.8831575401061
50,1,0.0031825237480068544,2.9747040089166727,0.16744467323391488,-3.1421486821505864,414.3153350305113,-535.495799685965,6.417225376649469,3.5849190215829125,1.3551008038894985,11.506417244902124,574.883157540106
50,1,0.003210301525784632,2.991265358337768,0.13661995660975554,-3.1278853149475254,404.6499550057065,-547.299777434527,18.664853051189553,3.6346369531494336,1.355369309855543,11.502542097112773,574.883157540106
50,1,0.0032380793035624096,3.0075989113206725,0.1057848358469563,-3.113383747167629,413.8900443437058,-542.3359881930456,27.60349896807847,3.721146679809798,1.35553289169083,11.499974360841827,574.8831575401064
50,1,0.0032658570813401872,3.023703424002086,0.07494165915934466,-3.09864508316143,425.3575755469834,-533.2030643213424,28.718020047308656,3.783113265549509,1.3559336696586717,11.500274920157414,574.8831575401057
50,1,0.003293634859117965,3.0395776699610186,0.044092775374239605,-3.0836704453352577,412.8081810587215,-532.9366205209253,27.599807406840455,3.757984601037746,1.3567181781227418,11.500124218262668,574.8831575401061
50,1,0.0033214126368957425,3.05522044031218,0.013240533753577678,-3.0684609740657582,410.2913462249261,-535.494969198017,24.479969563714818,3.739533923331771,1.3571676489346245,11.501394296660186,574.8831575401061
50,1,0.00334919041467352,3.0706305437980443,-0.017612716184992397,-3.053017827613052,404.77093283122906,-538.1757242819882,32.240541100224135,3.7294641212149053,1.3575625061175896,11.501697907161327,574.883157540106
50,1,0.0033769681924512977,3.0858068068795697,-0.04846462484703458,-3.037342182032534,381.48604833110267,-540.591910071831,42.5112003909191,3.72867655005609,1.358204666416655,11.499372398241288,574.8831575401061
50,1,0.0034047459702290753,3.1007480738255637,-0.0793128427402578,-3.021435231085307,371.6404224346942,-541.6367424821436,38.219404236300704,3.7651636848904495,1.3584437737608763,11.497415178398883,574.8831575401064
50,1,0.003432523748006853,3.1154532068007015,-0.11015502065343107,-3.00529818614727,388.76662708740673,-534.7596361533595,46.44132432967359,3.827994351696972,1.3587322823655639,11.498982454882675,574.883157540106
50,1,0.0034603015257846305,3.129921085952174,-0.1409888098353022,-2.9889322761168735,396.36686091516333,-535.0582834107804,57.45048030121632,3.8262242184032154,1.3592903983377558,11.501504031649993,574.883157540106
50,1,0.003488079303562408,3.14415060949497,-0.1718118621734424,-2.972338747321528,374.8008005203424,-539.0429015195078,48.745895288387956,3.775309153996605,1.3596153371512203,11.502754789569213,574.883157540106
50,1,0.0035158570813401857,3.1581406937957786,-0.20262183037308149,-2.955518863422698,352.52358502610275,-541.3589239591151,54.49565635860064,3.7221652670812317,1.3601316509278099,11.49967898896476,574.8831575401064
50,1,0.0035436348591179633,3.171890273455515,-0.2334163681358553,-2.93847390531966,356.85350124532226,-536.9065684530337,60.81876678986548,3.7050817627417767,1.360693465810253,11.496999775077272,574.8831575401064
50,1,0.003571412636895741,3.1853983013904554,-0.2641931303384874,-2.9212051710519673,372.92298993323476,-532.7840958117122,68.61456699933353,3.7348646766993863,1.3607763841419642,11.496434395343416,574.8831575401059
50,1,0.0035991904146735186,3.198663748911974,-0.2949497732113789,-2.9037139757005956,354.0154756679972,-544.9555040905235,71.6852869595495,3.747082131838322,1.3611344698143866,11.492089160745941,574.883157540106
50,1,0.003626968192451296,3.2116856058048833,-0.3256839545170959,-2.886001651287786,342.8242729669859,-538.8222583162864,74.17493117286168,3.6952678304447484,1.3615431041246089,11.486398233560834,574.8831575401061
50,1,0.0036547459702290738,3.2244628804043636,-0.35639333372874127,-2.8680695466756236,342.7914675734614,-533.4474335869687,81.58640596477348,3.63163400264872,1.3618167294717087,11.480427006137608,574.8831575401059
50,1,0.0036825237480068514,3.2369945996714855,-0.38707557220818717,-2.8499190274632977,342.3660424951421,-542.1830652392002,78.60215421171168,3.6101504309748242,1.3621481501321708,11.4750916725554,574.8831575401059
